+-------+---------+
|  Word | Guesses |
+-------+---------+
| arose |    1    |
| atone |    2    |
| alone |    3    |
| adore |    2    |
| canoe |    4    |
| ocean |    5    |
| opera |    3    |
| anode |    4    |
| cameo |    3    |
| ovate |    3    |
| oaken |    5    |
| adobe |    3    |
| abode |    4    |
| omega |    4    |
| above |    4    |
| awoke |    4    |
| irate |    2    |
| arise |    2    |
| raise |    3    |
| aisle |    2    |
| alien |    2    |
| aider |    2    |
| ideal |    3    |
| aside |    3    |
| sepia |    4    |
| agile |    2    |
| afire |    2    |
| email |    4    |
| anime |    3    |
| alike |    3    |
| alive |    4    |
| media |    3    |
| naive |    4    |
| abide |    4    |
| image |    3    |
| inane |    4    |
| maize |    4    |
| audio |    2    |
| waive |    5    |
| saute |    3    |
| acute |    3    |
| noise |    2    |
| cause |    2    |
| sauce |    4    |
| haute |    4    |
| argue |    2    |
| pause |    3    |
| poise |    3    |
| usage |    6    |
| opine |    2    |
| amuse |    2    |
| abuse |    3    |
| olive |    3    |
| azure |    3    |
| value |    3    |
| suave |    5    |
| ovine |    3    |
| voice |    4    |
| equal |    4    |
| biome |    2    |
| video |    5    |
| oxide |    4    |
| vague |    3    |
| movie |    5    |
| mauve |    4    |
| gauze |    4    |
| diode |    3    |
| gauge |    5    |
| quake |    5    |
| outer |    2    |
| route |    2    |
| ratio |    2    |
| rouse |    2    |
| louse |    3    |
| radio |    3    |
| ounce |    3    |
| rogue |    3    |
| rouge |    3    |
| patio |    3    |
| house |    4    |
| piano |    4    |
| boule |    3    |
| mouse |    5    |
| coupe |    3    |
| viola |    2    |
| voila |    5    |
| quote |    3    |
| axion |    3    |
| avoid |    2    |
| vogue |    4    |
| axiom |    4    |
| gouge |    4    |
| later |    3    |
| alter |    3    |
| alert |    5    |
| stare |    3    |
| react |    3    |
| crate |    3    |
| trace |    4    |
| cater |    4    |
| stale |    3    |
| slate |    4    |
| steal |    4    |
| learn |    3    |
| least |    3    |
| renal |    5    |
| snare |    4    |
| clear |    5    |
| saner |    5    |
| leant |    3    |
| teary |    4    |
| scare |    5    |
| eclat |    4    |
| heart |    4    |
| hater |    5    |
| layer |    5    |
| earth |    4    |
| relay |    5    |
| cleat |    3    |
| early |    7    |
| tread |    4    |
| caste |    3    |
| trade |    4    |
| crane |    3    |
| yearn |    4    |
| taper |    6    |
| share |    6    |
| shear |    7    |
| enact |    3    |
| yeast |    4    |
| scale |    4    |
| lathe |    4    |
| delta |    5    |
| great |    5    |
| grate |    4    |
| lance |    5    |
| clean |    3    |
| paler |    7    |
| pearl |    4    |
| haste |    4    |
| dealt |    5    |
| pleat |    4    |
| stead |    4    |
| tamer |    7    |
| regal |    4    |
| large |    4    |
| plate |    5    |
| glare |    4    |
| reach |    4    |
| lager |    5    |
| shale |    5    |
| leash |    4    |
| spare |    7    |
| parse |    3    |
| petal |    6    |
| leapt |    6    |
| spear |    8    |
| cheat |    4    |
| paste |    5    |
| realm |    5    |
| cedar |    6    |
| teach |    5    |
| lapse |    3    |
| metal |    6    |
| smear |    8    |
| recap |    6    |
| laden |    3    |
